Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Nervous System Development	53/567	1.668657258180202E-4	0.01635284113016598	0	0	1.781921805623172	15.499728051051779	RET;ROBO2;ROBO3;PLXND1;VLDLR;RPL9;CHL1;DPYSL3;HOXA2;RPL35;NRCAM;PLXNC1;SEMA6A;TRPC3;TRPC4;ITGA1;UNC5C;GAB2;RHOC;DNM1;COL2A1;DOK4;COL6A1;DCX;PABPC1;DSCAML1;EPHA2;ARHGEF28;RPS27L;CRMP1;CACNA1C;RPS4Y1;EFNA5;MYL12A;CACNA1G;EFNB2;CLTCL1;SRGAP2;PAK3;VASP;EGR2;LIMK2;MSN;NFASC;GJB1;DAB1;DLG4;CNTN1;PMP22;RPL22L1;COL9A3;KRAS;COL9A2
Potassium Channels	16/103	1.8155159962547496E-4	0.016583435263387555	0	0	3.142654127481714	27.070730414735152	GABBR2;KCNJ5;KCNH5;KCNH6;ABCC8;KCNC3;KCNB2;KCNK16;KCNK17;GNG11;GNG2;GNG4;KCNS3;KCNN3;KCNK3;KCNJ3
Collagen Degradation	12/64	1.9037106807460205E-4	0.016583435263387555	0	0	3.9364548494983276	33.72177982086576	COL17A1;MMP11;MMP14;COL15A1;COL2A1;CTSL;MMP15;COL6A1;FURIN;COL9A3;COL9A2;PRSS2
Signal Transduction	186/2613	2.1561733351058057E-4	0.017794104154978438	0	0	1.3561598681499794	11.448708829211546	FOXA1;CYFIP2;DGKG;APP;STEAP3;DGKD;PLXND1;IRS1;SERPINE1;IHH;STMN2;PLAT;NR3C1;AMOT;DOCK10;DOCK11;CYSLTR2;CCND1;FGF9;AKT3;KIF5A;MYB;ARHGDIB;EPSTI1;KDR;ATP6V1E1;RGS9;TNS3;CASR;CTNNBIP1;PRKAB1;PGF;RNF41;RUNX1;PYGO1;SFRP1;KEL;MFNG;RRAGD;APLNR;ELMO1;TRIB1;SQSTM1;EPHA2;FKBP5;TPH1;KHDRBS3;PDE1C;ARHGEF28;RHOBTB3;PDGFA;ARHGAP18;GPR83;RASGRP1;LTBP1;GRK5;PDGFD;PDGFC;PENK;PSAP;STAP2;APOE;SRGAP2;EGR2;TGFB2;JAG1;COL24A1;FZD7;TNFRSF10B;TNFRSF10A;GNG11;TNFRSF10D;GNAO1;FOSL1;ARHGAP33;CCDC88A;DLG2;NBEA;DLG4;ID2;FGF19;CNTN1;BCL2;COL9A3;COL9A2;BMPR1B;FBN1;BCL2L1;RET;GABRB3;GLP1R;PTPRU;GABRB2;DOCK5;CXCL6;CDKN1A;PTH1R;CHD3;TNFAIP1;AREG;SMPD3;SPRED2;SHH;GRM4;RASGEF1A;TIMP2;PRLHR;GAST;IFT57;DUSP4;TGIF1;FGB;DUSP5;GPR39;SYK;TRPC3;ITGA3;GAB2;TYK2;AXIN2;F2;RHOC;WNT16;DUSP6;DNM1;GIP;TGFBR3;GREM2;KAT2B;MMP14;ARHGEF9;COL2A1;MMP16;ALDH1A2;ALDH1A1;COL6A1;ITGA8;TFF3;GAS1;RHOU;TFF1;PDE5A;SGK1;PPP1R15A;RALB;PLPPR1;RGS16;FURIN;ADCY8;THBS1;DLL1;NEURL1B;FGD5;PDE11A;ACVR1C;GNG2;CNR1;GNG4;ERBB4;NTF3;P2RY1;STOM;POLR2H;PAK3;DYNC1I1;NTRK2;GABBR2;IL33;TCF7L2;LAMB3;STAT1;LAMB2;NOS3;LIMK2;PTPN13;FMNL3;MT-RNR2;APOC1;NEURL1;FAS;F2RL1;SPRY2;BAX;KRAS;SPRY1;RAMP1
Transmission Across Chemical Synapses	30/269	2.4385091084380548E-4	0.019117911410154353	0	0	2.1550428812501443	17.92770160701836	GABRB3;ACHE;GABRB2;MAOA;STXBP1;GRIK5;CACNA1B;CACNA1A;SLC1A3;ADCY8;PPM1E;SLC6A4;NRGN;GNG2;ERBB4;GNG4;KCNJ3;CHRNB2;GABBR2;KCNJ5;CACNA2D3;GAD2;PRKAB1;GNG11;SLC5A7;ARHGEF9;DLG2;NBEA;DLG4;KRAS
Peptide Hormone Metabolism	14/86	2.7433213346651195E-4	0.02008281029203707	0	0	3.3193184109699536	27.22229795726982	PCSK2;ACHE;ERO1B;TCF7L2;SLC30A8;CDX2;GPR119;PAX6;KLF4;PLA2G7;GIP;ANPEP;KIF5A;CPE
Hemostasis	62/707	2.8474032110814974E-4	0.02008281029203707	0	0	1.6633834929320566	13.579751301535856	DGKG;APP;DOCK5;DGKD;SERPINE1;PLAT;CLU;DOCK10;THBD;DOCK11;KIF19;TMSB4X;MYB;KIF5A;SIRPA;QSOX1;KIF21B;FGB;ANXA2;ITGA4;TRPC3;SYK;ITGA3;APLP2;SERPINF2;ITGA1;ATP1B3;ACTN4;F2;SERPINB8;KIF6;F5;MMRN1;CEACAM6;PDE5A;CD47;CD63;PDGFA;RASGRP1;THBS1;PDE11A;GNG2;GNG4;INPP5D;PSAP;P2RY1;S100A10;JAM3;TGFB2;HSPA5;NOS3;ATP2B4;TNFRSF10B;TNFRSF10A;GNG11;TNFRSF10D;MANF;EHD3;KIF26B;MAFF;CD9;KRAS
Neurofascin Interactions	4/7	2.945820387224825E-4	0.02008281029203707	0	0	22.639088729016787	184.05472787646676	NFASC;CNTN1;DCX;NRCAM
Axon Guidance	50/541	3.292807907230934E-4	0.021513011660575433	0	0	1.7570490212187098	14.089072761372678	RET;ROBO2;ROBO3;PLXND1;VLDLR;RPL9;CHL1;DPYSL3;HOXA2;RPL35;NRCAM;PLXNC1;SEMA6A;TRPC3;TRPC4;ITGA1;UNC5C;GAB2;RHOC;DNM1;COL2A1;DOK4;COL6A1;DCX;PABPC1;DSCAML1;EPHA2;ARHGEF28;RPS27L;CRMP1;CACNA1C;RPS4Y1;EFNA5;MYL12A;CACNA1G;EFNB2;CLTCL1;SRGAP2;PAK3;VASP;LIMK2;MSN;NFASC;DAB1;DLG4;CNTN1;RPL22L1;COL9A3;KRAS;COL9A2
Platelet Activation, Signaling and Aggregation	29/262	3.4833064132802855E-4	0.02184729782409395	0	0	2.1355741478495367	17.004206777393705	DGKG;APP;CD63;DGKD;SERPINE1;PDGFA;CLU;RASGRP1;THBS1;GNG2;GNG4;TMSB4X;PSAP;P2RY1;QSOX1;FGB;TGFB2;SYK;HSPA5;TRPC3;APLP2;SERPINF2;ACTN4;F2;GNG11;MANF;F5;MMRN1;CD9
Transcriptional Regulation by TP53	36/362	5.821105252216554E-4	0.03510574244413676	0	0	1.8975460122699386	14.134536035479936	BTG2;CDKN1A;STEAP3;MRE11;MT-CO1;COX7A2;TXN;CHD3;NDRG1;PIDD1;NUAK1;CASP6;SESN1;AKT3;SESN2;POLR2H;BID;PLK3;SUPT16H;NDUFA4;PLK2;IGFBP3;TNFRSF10C;TNFRSF10B;TNFRSF10A;ARID3A;PRKAB1;DDB2;TNFRSF10D;CCNA1;MSH2;RRAGD;FAS;BAX;MT-CO2;SGK1
Elastic Fibre Formation	9/44	6.126392354595862E-4	0.03557845634076412	0	0	4.378397212543554	32.390219317857415	BMP4;TGFB2;EFEMP1;ITGA8;FBLN1;FURIN;EMILIN1;LTBP1;FBN1
Developmental Biology	105/1385	7.627117494910208E-4	0.042711857971497166	0	0	1.4283660979228487	10.253712269717205	FOXA1;PLXND1;IHH;RPL9;SALL1;CCND1;FGF9;AKT3;DPYSL3;MYB;RPL35;HOXA2;NRCAM;PRSS8;PLXNC1;ATP6V1E1;SEMA6A;EBF1;KRT7;UNC5C;HNF1B;RUNX1;DOK4;CLDN7;DSC3;EPHA2;DLX5;ARHGEF28;GMPR;CACNA1C;RPS4Y1;EFNA5;MYL12A;CACNA1G;EFNB2;CLTCL1;PRDM16;NKX2-5;NKX6-1;SRGAP2;NKX2-2;VASP;EGR2;ST14;JAG1;MSN;SMARCA2;BMP4;GJB1;MAFB;DAB1;DLG4;CNTN1;BCL2;COL9A3;COL9A2;RET;ROBO2;ROBO3;CDKN1A;ONECUT1;CHD3;VLDLR;SHH;CHL1;TRPC3;TRPC4;ITGA1;PAX4;PAX6;GAB2;RHOC;DNM1;KAT2B;ZEB2;COL2A1;COL6A1;ITGA8;DCX;DSG3;PABPC1;DSCAML1;UHRF1;RPS27L;CRMP1;FURIN;DLL1;ACVR1C;POLR2H;CTNNA2;PAK3;TCF7L2;CDX2;LIMK2;LGI2;KLK13;KLF4;GCK;NFASC;MEIS1;PMP22;RPL22L1;KRAS;INSM1;NEUROG3
Molecules Associated With Elastic Fibres	8/37	8.301299167734274E-4	0.0448842658448529	0	0	4.694385659155982	33.30163548134912	BMP4;TGFB2;EFEMP1;ITGA8;FBLN1;EMILIN1;LTBP1;FBN1
ECM Proteoglycans	12/76	9.720545655056208E-4	0.050806051957093784	0	0	3.1963315217391304	22.170070649735266	APP;VCAN;TGFB2;COL2A1;LAMB2;SERPINE1;COL6A1;ITGA8;LRP4;COL9A3;COL9A2;HSPG2
Protein-protein Interactions at Synapses	13/88	0.0011527944641892339	0.05830908773705544	0	0	2.955781202780296	19.99753374106627	SYT2;EPB41;HOMER2;STXBP1;SYT7;PTPRD;LRFN2;DLG2;SLITRK2;DLG4;SYT10;SLITRK6;DLGAP1
Cell-Cell Communication	19/157	0.0012191047169413652	0.05973613113012689	0	0	2.3527538874136313	15.78612813036506	COL17A1;VASP;LAMB3;FBLIM1;CADM2;ACTN4;CLDN1;AMOT;CLDN6;CLDN4;ZEB2;CLDN7;SIRPA;CDH13;CD47;FLNC;CDH17;SKAP2;CRB3
Signaling by FLT3 ITD and TKD Mutants	5/16	0.0013959968820574029	0.06633100336563659	0	0	7.721544881760903	50.76256732177965	CDKN1A;NOX4;KRAS;GAB2;BCL2L1
Biological Oxidations	24/222	0.001499312838090909	0.06723280397452853	0	0	2.074148074148074	13.487663036880289	SLC35B2;GLYATL2;ACSS2;MAOA;GSTO1;SMOX;UGT2B15;CMBL;MAT2B;CYP3A5;TPST1;CYP2B6;GSTA4;GSTA2;FDX1;GSTA1;ALDH1A1;FDXR;CYP1A1;CYP1B1;UGT2A3;UGT3A1;CYP2E1;UGT2B7
Metabolism	153/2181	0.001541827781743066	0.06723280397452853	0	0	1.3205404707920883	8.550217870585769	SLC35B2;SLC46A1;MT-CO1;GLDC;HNMT;MT-ND3;SAT1;RPL9;MT-ND1;NUDT4;HS6ST3;MPC2;FDXR;CYP1B1;RPL35;PLCE1;LRAT;SBF2;ACSL1;UGT2B15;CMBL;HSPG2;CH25H;TPST1;INPP4B;PPP1R3C;GPD1;FDX1;MT-CO2;SUCLG1;CYP2E1;ISCU;TPH1;CEMIP;RETSAT;SAR1B;ABHD3;INSIG2;MAOA;STXBP1;GMPR;CACNA1A;COX7A2;CACNA1C;AK5;TXN;RPS4Y1;ACACB;ACAT1;UGT8;CYP2B6;ARSJ;INPP5D;NEU1;PSAP;PNPO;SLC19A3;ATP5MK;HACL1;UGT3A1;APOE;RIMKLB;IP6K2;GLYATL2;OSBPL6;SLC37A1;NUP155;SRD5A1;SLC10A2;GNG11;EXT2;GLUD2;TCN1;NDUFAF2;CYP1A1;HPSE;LRP10;SERINC2;GLP1R;ACHE;SLC44A3;ACADVL;SLC44A4;ADPGK;GBE1;GADL1;SLC2A3;CROT;HSCB;SMPD3;SPTLC1;CA2;CA4;ANKRD1;PGM2;UGT2A3;AOX1;HMGCS2;AASS;PCYT1B;GSTO1;ABCC8;AMPD3;PTGR1;PLAAT5;PLAAT4;PGM2L1;VCAN;ALDH1A1;SDHAF4;BCAT1;CHST2;ST6GALNAC5;UGT2B7;PRPS2;DDC;ACSS2;LRP1;MRPS36;AKR1D1;RPS27L;NDUFB1;HSD17B4;MAT2B;SAMHD1;ADCY8;CYP3A5;NT5E;GNG2;OXCT1;GNG4;GPC3;CHSY3;GPC4;CRYM;DUOX2;GCH1;NDUFA4;SMOX;NOS3;AKR1C2;PTPN13;HS3ST4;GCK;FABP1;GATM;GSTA4;GLB1;PSAT1;KCNS3;GSTA2;GSTA1;RPL22L1
STAT5 Activation Downstream of FLT3 ITD Mutants	4/10	0.001543610295333563	0.06723280397452853	0	0	11.317745803357314	73.26691300987638	CDKN1A;NOX4;GAB2;BCL2L1
Formation of Lateral Plate Mesoderm	3/5	0.0015915045552430296	0.06744538223300191	0	0	25.447439353099732	163.95977173622245	BMP4;SHH;IHH
GABA Receptor Activation	10/60	0.0016567911127990747	0.06836443328602497	0	0	3.4057866184448464	21.806817861465227	GABRB3;GABRB2;GABBR2;KCNJ5;ARHGEF9;GNG2;GNG4;ADCY8;GNG11;KCNJ3
Activation of Matrix Metalloproteinases	7/33	0.001965558742584071	0.07902554124030317	0	0	4.578136921689672	28.530851903930767	MMP11;MMP14;MMP16;MMP15;TIMP2;FURIN;PRSS2
Interleukin-27 Signaling	4/11	0.0023190243301796343	0.08657690832670635	0	0	9.700411099691674	58.84859865320065	STAT1;EBI3;TYK2;CRLF1
NFE2L2 Regulating Tumorigenic Genes	4/11	0.0023190243301796343	0.08657690832670635	0	0	9.700411099691674	58.84859865320065	BCL2;PDGFA;AREG;BCL2L1
TGFBR3 PTM Regulation	4/11	0.0023190243301796343	0.08657690832670635	0	0	9.700411099691674	58.84859865320065	TGFBR3;MMP14;MMP16;TIMP2
Cell Junction Organization	15/119	0.0025716686578534926	0.0937761966398669	0	0	2.460176063718298	14.670522659808544	COL17A1;VASP;LAMB3;FBLIM1;CADM2;CLDN1;AMOT;CLDN6;CLDN4;ZEB2;CLDN7;CDH13;FLNC;CDH17;CRB3
Retinoid Metabolism and Transport	8/44	0.0026973781245359014	0.09612474771073393	0	0	3.7801845166466106	22.361587165203964	LRP1;RETSAT;GPC3;LRAT;APOE;GPC4;LRP10;HSPG2
Inwardly Rectifying K+ Channels	7/35	0.0028074479238201326	0.0978239632122215	0	0	4.250676284941389	24.974761035272927	GABBR2;KCNJ5;GNG2;GNG4;ABCC8;GNG11;KCNJ3
FASTK Family Proteins Regulate Processing and Stability of Mitochondrial RNAs	5/19	0.0032316083596152486	0.10938590484983063	0	0	6.065963739231066	34.78693915302174	MT-CO1;MT-RNR2;MT-CO2;MT-ND3;MT-ND1
Signaling by NTRKs	16/134	0.0032787866887385455	0.10938590484983063	0	0	2.313220338983051	13.232272290041406	DUSP4;NTRK2;TPH1;EGR2;RALB;IRS1;FURIN;DNM1;DUSP6;FOSL1;ID2;NTF3;BAX;KRAS;TRIB1;SGK1
Kidney Development	8/46	0.0035992668132818887	0.11757604923387502	0	0	3.5808474254227627	20.149518403856092	RET;ROBO2;BMP4;SALL1;JAG1;ITGA8;HNF1B;DLL1
Heparan Sulfate Heparin (HS-GAG) Metabolism	9/57	0.004065346342440975	0.12748926129894897	0	0	3.190379403794038	17.563856435018486	EXT2;VCAN;GLB1;GPC3;GPC4;HPSE;HSPG2;HS3ST4;HS6ST3
Neurexins and Neuroligins	9/57	0.004065346342440975	0.12748926129894897	0	0	3.190379403794038	17.563856435018486	SYT2;DLG2;EPB41;HOMER2;DLG4;STXBP1;SYT10;DLGAP1;SYT7
Defective B3GALTL Causes PpS	7/38	0.004555992822338279	0.13211413175675019	0	0	3.838709677419355	20.695680814537216	ADAMTS16;ADAMTSL1;SEMA5B;ADAMTS18;THBS1;ADAMTS9;THSD4
Mitochondrial Iron-Sulfur Cluster Biogenesis	4/13	0.004593731537886583	0.13211413175675019	0	0	7.54396482813749	40.60963502748675	FDX1;FDXR;HSCB;ISCU
Activation of G Protein Gated Potassium Channels	6/29	0.004675738250518043	0.13211413175675019	0	0	4.432667450058754	23.782893040484073	GABBR2;KCNJ5;GNG2;GNG4;GNG11;KCNJ3
G Protein Gated Potassium Channels	6/29	0.004675738250518043	0.13211413175675019	0	0	4.432667450058754	23.782893040484073	GABBR2;KCNJ5;GNG2;GNG4;GNG11;KCNJ3
Inhibition of Voltage Gated Ca2+ Channels via Gbeta Gamma Subunits	6/29	0.004675738250518043	0.13211413175675019	0	0	4.432667450058754	23.782893040484073	GABBR2;KCNJ5;GNG2;GNG4;GNG11;KCNJ3
Metabolism of Fat-Soluble Vitamins	8/48	0.004718361848455364	0.13211413175675019	0	0	3.4014440433212996	18.219132979154338	LRP1;RETSAT;GPC3;LRAT;APOE;GPC4;LRP10;HSPG2
Formation of the Ureteric Bud	5/21	0.005154164773052634	0.13934017869218157	0	0	5.307155715571557	27.95783199908769	RET;ROBO2;BMP4;SALL1;ITGA8
Regulation of Gene Expression in Beta Cells	5/21	0.005154164773052634	0.13934017869218157	0	0	5.307155715571557	27.95783199908769	AKT3;PAX6;NKX6-1;GCK;NKX2-2
O-glycosylation of TSR Domain-Containing Proteins	7/39	0.005290502643058937	0.14060183295451548	0	0	3.7185527502254283	19.492066059845886	ADAMTS16;ADAMTSL1;SEMA5B;ADAMTS18;THBS1;ADAMTS9;THSD4
Laminin Interactions	6/30	0.005573666149246261	0.14565847536696894	0	0	4.247747747747748	22.044546026939635	LAMB3;ITGA3;LAMB2;ITGA1;NID2;HSPG2
Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS	4/14	0.006150206929187784	0.15554071717687815	0	0	6.7892086330935255	34.565691187068566	EXT2;GPC3;GPC4;HSPG2
Defective EXT2 Causes Exostoses 2	4/14	0.006150206929187784	0.15554071717687815	0	0	6.7892086330935255	34.565691187068566	EXT2;GPC3;GPC4;HSPG2
Assembly of Collagen Fibrils and Other Multimeric Structures	9/61	0.006427316210367193	0.15996875901358348	0	0	2.9443402126328957	14.860668661128718	COL17A1;COL15A1;COL2A1;COL24A1;LAMB3;CTSL;COL6A1;COL9A3;COL9A2
HS-GAG Biosynthesis	6/31	0.006591288494183166	0.16148656810748754	0	0	4.0776216216216215	20.47784199042133	EXT2;GPC3;GPC4;HS3ST4;HSPG2;HS6ST3
Erythrocytes Take up Oxygen and Release Carbon Dioxide	3/8	0.007851223442280958	0.1796694714964008	0	0	10.177358490566037	49.33053090819298	CA2;CA4;AQP1
Ligand-receptor Interactions	3/8	0.007851223442280958	0.1796694714964008	0	0	10.177358490566037	49.33053090819298	SHH;IHH;GAS1
Regulation of Gene Expression in Early Pancreatic Precursor Cells	3/8	0.007851223442280958	0.1796694714964008	0	0	10.177358490566037	49.33053090819298	ONECUT1;HNF1B;NKX6-1
TRAIL Signaling	3/8	0.007851223442280958	0.1796694714964008	0	0	10.177358490566037	49.33053090819298	TNFRSF10B;TNFRSF10A;TNFRSF10D
Constitutive Signaling by NOTCH1 HD Domain Mutants	4/15	0.008020958548946465	0.1796694714964008	0	0	6.171680837148463	29.782663826477584	NEURL1B;JAG1;NEURL1;DLL1
Signaling by NOTCH1 HD Domain Mutants in Cancer	4/15	0.008020958548946465	0.1796694714964008	0	0	6.171680837148463	29.782663826477584	NEURL1B;JAG1;NEURL1;DLL1
Semaphorin Interactions	9/64	0.008800799824405217	0.19336445212471712	0	0	2.7832963784183296	13.173098700714938	SEMA6A;PLXND1;LIMK2;DPYSL3;ITGA1;CRMP1;PLXNC1;RHOC;PAK3
Activation of GABAB Receptors	7/43	0.009139449681803745	0.19336445212471712	0	0	3.3046788898907926	15.515979960907721	GABBR2;KCNJ5;GNG2;GNG4;ADCY8;GNG11;KCNJ3
GABA B Receptor Activation	7/43	0.009139449681803745	0.19336445212471712	0	0	3.3046788898907926	15.515979960907721	GABBR2;KCNJ5;GNG2;GNG4;ADCY8;GNG11;KCNJ3
HS-GAG Degradation	5/24	0.009372256608085779	0.19336445212471712	0	0	4.468473163105784	20.867775831139376	GLB1;GPC3;GPC4;HPSE;HSPG2
Incretin Synthesis, Secretion, and Inactivation	5/24	0.009372256608085779	0.19336445212471712	0	0	4.468473163105784	20.867775831139376	TCF7L2;CDX2;GPR119;PAX6;GIP
Interleukin-6 Family Signaling	5/24	0.009372256608085779	0.19336445212471712	0	0	4.468473163105784	20.867775831139376	STAT1;LIF;LIFR;TYK2;CRLF1
Regulation of Gene Expression in Late Stage (Branching Morphogenesis) Pancreatic Bud Precursor Cells	4/16	0.010229285224041967	0.205591047179252	0	0	5.657074340527578	25.923546401496854	KAT2B;ONECUT1;HNF1B;NEUROG3
Neurotransmitter Receptors and Postsynaptic Signal Transmission	20/204	0.010344796892698932	0.205591047179252	0	0	1.8545699777848301	8.477743072175064	GABRB3;CHRNB2;GABRB2;GABBR2;KCNJ5;GRIK5;ADCY8;PRKAB1;GNG11;PPM1E;NRGN;ARHGEF9;DLG2;GNG2;NBEA;DLG4;ERBB4;GNG4;KRAS;KCNJ3
Collagen Chain Trimerization	7/44	0.010358222402526089	0.205591047179252	0	0	3.2151926498184387	14.693348871228995	COL17A1;COL15A1;COL2A1;COL24A1;COL6A1;COL9A3;COL9A2
Insulin Processing	5/25	0.011188048785558083	0.21025510294229804	0	0	4.244824482448244	19.071610728159097	PCSK2;ERO1B;SLC30A8;KIF5A;CPE
Mitochondrial RNA Degradation	5/25	0.011188048785558083	0.21025510294229804	0	0	4.244824482448244	19.071610728159097	MT-CO1;MT-RNR2;MT-CO2;MT-ND3;MT-ND1
NOTCH2 Activation and Transmission of Signal to the Nucleus	5/25	0.011188048785558083	0.21025510294229804	0	0	4.244824482448244	19.071610728159097	NEURL1B;JAG1;NEURL1;CNTN1;DLL1
Regulation of Insulin Secretion	10/78	0.011237060093388335	0.21025510294229804	0	0	2.501861504095309	11.229700497558966	GLP1R;GNG2;ABCC8;GNG4;STXBP1;KCNS3;CACNA1A;CACNA1C;ADCY8;GNG11
BH3-only Proteins Associate With and Inactivate Anti-Apoptotic BCL-2 Members	3/9	0.01129242194890641	0.21025510294229804	0	0	8.480682839173404	38.02418804455124	BCL2;BID;BCL2L1
Collagen Formation	11/90	0.01139775749368325	0.21025510294229804	0	0	2.3696087977547395	10.602432238681565	COL17A1;COL15A1;CRTAP;COL2A1;COL24A1;LAMB3;P4HA1;CTSL;COL6A1;COL9A3;COL9A2
Collagen Biosynthesis and Modifying Enzymes	9/67	0.011785129724147586	0.21316577877409576	0	0	2.6389122511914773	11.7191895787506	COL17A1;COL15A1;CRTAP;COL2A1;COL24A1;P4HA1;COL6A1;COL9A3;COL9A2
